,0
206,12.008000000000003
207,12.008000000000003
208,12.008000000000003
209,12.008000000000003
210,12.008000000000003
211,12.008000000000003
212,12.008000000000003
213,7.0089999999999995
214,7.0089999999999995
215,7.0089999999999995
216,7.0089999999999995
217,7.0089999999999995
218,7.0089999999999995
219,7.0089999999999995
220,7.0089999999999995
221,7.0089999999999995
222,7.0089999999999995
223,7.0089999999999995
224,7.0089999999999995
225,7.0089999999999995
226,7.0089999999999995
227,0.01
228,0.01
229,0.01
230,0.01
231,0.01
232,0.01
233,0.01
234,0.01
235,0.01
236,0.01
237,0.01
238,0.01
239,5.009
240,5.009
241,5.009
242,5.009
243,5.009
244,5.009
245,19.008000000000003
246,19.008000000000003
247,19.008000000000003
248,19.008000000000003
249,19.008000000000003
250,19.008000000000003
251,19.008000000000003
252,19.008000000000003
253,19.008000000000003
254,19.008000000000003
255,19.008000000000003
256,19.008000000000003
257,19.008000000000003
258,19.008000000000003
259,19.008000000000003
260,19.008000000000003
261,19.008000000000003
262,19.008000000000003
263,19.008000000000003
264,26.007
265,26.007
266,26.007
267,26.007
268,26.007
269,26.007
270,26.007
271,26.007
272,26.007
273,26.007
274,26.007
275,26.007
276,26.007
277,26.007
278,31.006
279,31.006
280,31.006
281,31.006
282,31.006
283,31.006
284,31.006
285,31.006
286,31.006
287,31.006
288,31.006
289,31.006
290,31.006
291,31.006
292,31.006
293,31.006
294,31.006
295,31.006
296,31.006
297,31.006
298,31.006
299,31.006
300,31.006
301,31.005
302,31.005
303,31.005
304,31.005
305,31.005
306,31.005
307,31.005
308,31.005
309,31.005
310,31.005
311,31.005
312,31.005
313,31.005
314,31.005
315,31.005
316,31.005
317,31.005
318,31.005
319,31.005
320,31.005
321,31.005
322,31.005
323,31.005
324,31.003999999999998
325,31.003999999999998
326,31.003999999999998
327,31.003999999999998
328,31.003999999999998
329,31.003999999999998
330,31.003999999999998
331,31.003999999999998
332,31.003999999999998
333,31.003999999999998
334,31.003999999999998
335,31.005
336,26.006
337,26.006
338,26.006
339,26.006
340,26.006
341,26.006
342,26.006
343,26.005
