,0
278,43.001000000000005
279,43.001000000000005
280,43.001000000000005
281,43.001000000000005
282,43.001000000000005
283,43.001000000000005
284,43.001000000000005
285,238.001
286,238.001
287,238.001
288,238.001
289,238.001
290,433.001
291,433.001
292,433.001
293,433.001
294,433.001
295,433.001
296,433.001
297,433.001
298,433.001
299,433.001
300,238.001
301,238.001
302,238.001
303,238.001
304,238.001
305,43.001000000000005
306,43.001000000000005
307,43.001000000000005
308,43.001000000000005
309,43.001000000000005
310,43.001000000000005
311,43.001000000000005
312,43.001000000000005
313,43.001000000000005
314,43.001000000000005
315,238.001
316,238.001
317,238.001
318,238.001
319,238.001
320,426.002
321,426.002
322,426.002
323,426.002
324,426.002
325,426.002
326,426.002
327,426.002
328,426.002
329,426.002
330,231.002
331,231.002
332,231.002
333,231.002
334,231.002
335,36.002
336,36.002
337,36.002
338,50.001
339,45.001999999999995
340,45.001999999999995
341,45.001999999999995
342,45.001999999999995
343,45.001999999999995
344,45.001999999999995
345,240.002
346,240.002
347,240.002
348,240.002
349,240.002
350,435.002
351,435.002
352,435.002
353,435.002
354,435.002
355,435.002
356,435.002
357,435.002
358,435.002
359,435.002
360,240.002
361,240.002
362,240.002
363,240.002
364,219.00300000000001
365,24.002
366,24.002
367,24.002
368,24.002
369,24.002
370,24.002
371,24.002
372,24.002
373,24.002
374,24.002
375,219.002
376,219.002
377,219.002
378,219.002
379,219.002
380,414.002
381,414.002
382,414.002
383,414.002
384,414.002
385,414.002
386,414.002
387,414.002
388,414.002
389,414.002
390,219.002
391,219.002
392,219.002
393,219.002
394,219.002
395,24.002
396,24.002
397,24.002
398,24.002
399,24.002
400,24.002
401,24.002
402,24.002
403,24.002
404,24.002
405,219.002
406,219.002
407,219.002
408,219.002
409,219.002
410,414.002
411,414.002
412,414.002
413,414.002
414,414.002
415,214.00300000000001
416,214.00300000000001
417,214.00300000000001
418,214.00300000000001
419,214.00300000000001
420,19.003
421,19.003
422,19.003
423,19.003
424,19.003
425,19.003
426,19.003
427,19.003
428,19.003
429,19.003
430,19.003
431,19.003
432,19.003
433,19.003
434,19.003
435,214.00300000000001
436,214.00300000000001
437,214.00300000000001
438,214.00300000000001
439,214.00300000000001
440,214.00300000000001
441,214.00300000000001
442,214.00300000000001
443,414.002
444,414.002
445,414.002
446,414.002
447,414.002
448,414.002
449,414.002
450,219.002
451,219.002
452,219.002
453,219.002
454,219.002
455,219.002
456,219.002
457,219.002
458,10.003
459,10.003
460,10.002
461,10.002
462,10.002
463,10.002
464,10.002
465,205.002
466,205.002
467,205.002
468,205.002
469,205.002
470,205.002
471,205.002
472,205.002
473,400.002
474,400.002
475,200.00300000000001
476,200.00300000000001
477,205.002
478,205.002
479,205.002
480,10.002
481,10.002
482,10.002
483,10.002
484,10.002
485,10.002
486,10.002
487,10.002
488,10.002
489,10.002
490,10.002
491,15.001000000000001
492,210.001
493,210.001
494,210.001
495,405.001
496,405.001
497,405.001
498,405.001
499,405.001
500,405.002
501,405.002
502,405.002
503,405.002
504,405.002
505,405.002
506,405.002
507,205.00300000000001
508,205.00300000000001
509,205.00300000000001
510,10.003
511,10.003
512,10.003
513,15.001999999999999
514,15.001000000000001
515,15.001000000000001
516,15.001000000000001
517,15.001000000000001
518,15.001000000000001
519,15.002000000000002
520,15.003
521,15.003
522,15.003
523,15.003
524,15.003
525,210.00300000000001
526,210.00300000000001
527,210.00300000000001
528,405.00300000000004
529,405.00300000000004
530,405.00300000000004
531,405.00300000000004
532,405.00300000000004
533,405.00300000000004
534,405.00300000000004
535,405.00300000000004
536,405.00300000000004
537,405.00300000000004
538,405.00300000000004
539,405.00300000000004
540,210.00300000000001
541,210.00300000000001
542,210.00300000000001
543,15.003
544,15.003
545,15.003
546,15.003
547,15.003
