,0
272,34.004000000000005
273,29.005000000000003
274,29.005000000000003
275,29.005000000000003
276,24.006
277,24.006
278,24.006
279,24.006
280,24.006
281,24.006
282,19.006999999999998
283,19.006999999999998
284,19.006999999999998
285,19.006999999999998
286,19.006999999999998
287,19.006999999999998
288,19.006999999999998
289,19.006999999999998
290,19.006999999999998
291,19.006999999999998
292,19.006999999999998
293,19.006999999999998
294,19.006999999999998
295,19.006999999999998
296,19.006999999999998
297,19.006999999999998
298,19.006999999999998
299,19.006999999999998
300,19.006999999999998
301,19.006
302,19.006
303,19.006
304,19.006
305,19.006
306,19.006
307,19.006
308,19.006
309,19.006
310,19.006
311,19.006
312,19.006
313,19.006
314,26.005000000000003
315,26.005000000000003
316,26.005000000000003
317,26.005000000000003
318,26.005000000000003
319,26.005000000000003
320,26.005000000000003
321,26.006
322,26.006
323,26.006
324,26.006999999999998
325,26.006999999999998
326,26.006999999999998
327,26.006999999999998
328,26.006999999999998
329,26.006999999999998
330,26.006999999999998
331,26.006999999999998
332,26.006999999999998
333,21.008000000000003
334,21.008000000000003
335,21.008000000000003
336,21.008000000000003
337,21.008000000000003
338,28.007
339,28.007
340,28.007
341,28.006
342,28.006
343,28.006
344,28.006
345,28.006
346,28.006
347,21.006999999999998
348,21.006999999999998
349,21.006999999999998
350,21.006999999999998
351,21.006999999999998
352,21.006999999999998
353,21.006999999999998
354,21.006999999999998
355,21.008000000000003
356,21.008000000000003
357,21.008000000000003
358,21.008000000000003
359,21.008000000000003
360,21.008000000000003
361,21.008000000000003
362,21.007
363,21.007
364,21.007
365,21.007
366,21.007
367,21.007
368,21.007
369,21.007
370,21.007
371,21.007
372,21.008000000000003
373,21.008000000000003
374,26.007000000000005
375,26.007000000000005
376,26.007000000000005
377,26.007000000000005
378,26.007000000000005
379,26.007000000000005
380,26.007000000000005
381,26.007000000000005
382,19.008000000000003
383,19.008000000000003
384,12.009
385,12.009
386,12.009
387,26.009
388,26.009
389,26.009
390,26.009
391,26.009
392,26.009
393,26.009
394,26.009
395,26.009
396,26.009
397,26.009
398,26.009
399,26.009
400,26.009
401,26.009
402,26.009
403,26.009
404,26.009
405,26.009
406,26.009
407,33.008
408,33.008
409,33.009
410,33.009
411,33.008
412,33.008
413,33.008
414,33.008
415,33.008
416,33.008
417,33.008
418,33.008
419,33.008
420,33.008
421,33.008
422,33.008
423,33.008
424,33.008
425,33.008
426,33.008
427,38.007000000000005
428,38.007000000000005
429,38.007000000000005
430,38.007000000000005
431,38.007000000000005
432,38.007000000000005
433,38.007000000000005
434,38.007000000000005
435,38.007000000000005
436,38.007000000000005
437,36.007000000000005
438,36.007000000000005
439,36.007000000000005
440,36.007000000000005
441,36.007000000000005
442,36.007000000000005
443,36.007000000000005
444,36.007000000000005
445,36.007000000000005
446,36.007000000000005
447,36.007000000000005
448,36.007000000000005
449,36.007000000000005
450,36.007000000000005
